ID;Strassenschlussel;Strasse;HNR;Zusatz;RW;HW;"Stat Bezirk";CL_STR_KEY;CL_HNR;CL-Stat_Bez;lat;lon
1;1;"Aalstraße";1;NULL;411179,592;5477155,585;00185;00001;0001;0185;49.4405674494884;7.77478788557705
2;1;"Aalstraße";3;NULL;411178,412;5477168,063;00185;00001;0003;0185;49.4406842106472;7.77477118161855
3;1;"Aalstraße";5;NULL;411174,095;5477227,993;00170;00001;0005;0170;49.4412142052954;7.77470279622635
4;2;"Adam-Hoffmann-Straße";1;NULL;411996,245;5478688,115;00510;00002;0001;0510;49.4544723885107;7.78571455895462
5;2;"Adam-Hoffmann-Straße";2;NULL;411996,999;5478741,359;00510;00002;0002;0510;49.4549490112748;7.78570278258831
6;2;"Adam-Hoffmann-Straße";3;NULL;411932,271;5478673,742;00510;00002;0003;0510;49.4543282216627;7.78483502664749
7;2;"Adam-Hoffmann-Straße";3;a;411956,828;5478613,872;00510;00002;0003;0510;49.4537921271601;7.78517943835124
8;2;"Adam-Hoffmann-Straße";3;b;411941,989;5478646,098;00510;00002;0003;0510;49.4540867183933;7.78496518239857
9;2;"Adam-Hoffmann-Straße";5;NULL;411896,374;5478638,527;00510;00002;0005;0510;49.4540082515464;7.78434620062693
10;2;"Adam-Hoffmann-Straße";7;NULL;411834,717;5478619,431;00510;00002;0007;0510;49.4538283930961;7.78349516043576
11;2;"Adam-Hoffmann-Straße";11;NULL;411798,492;5478538,107;00510;00002;0011;0510;49.4530947451192;7.78301659134165
12;2;"Adam-Hoffmann-Straße";20;NULL;411980,633;5478724,413;00510;00002;0020;0510;49.4547938144725;7.78548584155007
13;2;"Adam-Hoffmann-Straße";26;NULL;411877,366;5478683,194;00510;00002;0026;0510;49.4544101755494;7.78407408982633
14;2;"Adam-Hoffmann-Straße";28;NULL;411769,164;5478820,211;00510;00002;0028;0510;49.4556265246233;7.78255373398291
15;4;"Adolfstraße";1;NULL;409827,547;5477114,14;00325;00004;0001;0325;49.4399996857376;7.75615208228078
16;4;"Adolfstraße";2;NULL;409817,712;5477121,846;00325;00004;0002;0325;49.4400611518685;7.75601258374212
17;4;"Adolfstraße";4;NULL;409809,978;5477114,979;00325;00004;0004;0325;49.4399970153098;7.75590385155369
18;4;"Adolfstraße";6;NULL;409803,136;5477109,106;00325;00004;0006;0325;49.4399511610258;7.7558222457125
19;4;"Adolfstraße";7;NULL;409785,029;5477077,24;00325;00004;0007;0325;49.4396607201631;7.75558129809432
20;4;"Adolfstraße";8;NULL;409791,235;5477098,797;00325;00004;0008;0325;49.4398504594834;7.75565926206161
21;4;"Adolfstraße";8;a;409769,006;5477118,559;00325;00004;0008;0325;49.4400270503305;7.7553513173218
22;4;"Adolfstraße";9;NULL;409778,254;5477071,533;00325;00004;0009;0325;49.4396057244316;7.75548613022862
23;4;"Adolfstraße";10;NULL;409784,175;5477092,674;00325;00004;0010;0325;49.4397954638143;7.75556409374422
24;4;"Adolfstraße";12;NULL;409776,428;5477085,99;00325;00004;0012;0325;49.4397313268402;7.75545536272973
25;4;"Adolfstraße";14;NULL;409769,274;5477079,773;00325;00004;0014;0325;49.4396763310057;7.75536019487163
26;4;"Adolfstraße";16;NULL;409762,027;5477073,557;00325;00004;0016;0325;49.4396213350941;7.75526502722672
27;4;"Adolfstraße";18;NULL;409754,874;5477067,34;00325;00004;0018;0325;49.439566190646;7.75515606932476
28;4;"Adolfstraße";20;NULL;409742,453;5477056,917;00325;00004;0020;0325;49.4394654881789;7.7549930883171
29;5;Adolph-Kolping-Platz;1;NULL;411321,88;5477212,342;00180;00005;0001;0180;49.4411007759627;7.7767334353859
30;5;Adolph-Kolping-Platz;2;NULL;411323,161;5477203,596;00180;00005;0002;0180;49.4410201318766;7.77676303093341
31;5;Adolph-Kolping-Platz;3;NULL;411325,535;5477192,48;00180;00005;0003;0180;49.4409215020328;7.77679307381761
32;5;Adolph-Kolping-Platz;4;NULL;411322,922;5477182,818;00180;00005;0004;0180;49.4408311356362;7.77675393817953
33;5;Adolph-Kolping-Platz;5;NULL;411312,53;5477165,007;00180;00005;0005;0180;49.4406767978253;7.77661983254116
34;5;Adolph-Kolping-Platz;6;NULL;411305,838;5477158,737;00180;00005;0006;0180;49.4406128263477;7.77652486264685
35;5;Adolph-Kolping-Platz;7;NULL;411298,656;5477153,885;00180;00005;0007;0180;49.4405668405403;7.77642944543657
36;5;Adolph-Kolping-Platz;9;NULL;411252,11;5477160,847;00185;00005;0009;0185;49.440623076322;7.77579349865177
37;5;Adolph-Kolping-Platz;10;NULL;411243,351;5477169,901;00185;00005;0010;0185;49.4407026980779;7.77566736549877
38;5;Adolph-Kolping-Platz;11;NULL;411237,392;5477188,741;00185;00005;0011;0185;49.4408726864821;7.77558036530192
39;5;Adolph-Kolping-Platz;12;NULL;411238,78;5477215,189;00170;00005;0012;0170;49.4411156399972;7.775588109911
40;5;Adolph-Kolping-Platz;14;NULL;411259,279;5477234,817;00170;00005;0014;0170;49.4412895707446;7.77587346729242
41;5;Adolph-Kolping-Platz;15;NULL;411284,645;5477240,769;00170;00005;0015;0170;49.4413471772963;7.77621690089627
42;8;Ahornweg;1;NULL;405275,811;5474463,267;01630;00008;0001;1630;49.4154679976852;7.69401154078453
43;8;Ahornweg;3;NULL;405252,972;5474449,768;01630;00008;0003;1630;49.4153385194933;7.693697864636
44;8;Ahornweg;4;NULL;405248,993;5474490,831;01630;00008;0004;1630;49.4157065941864;7.69363294411803
45;8;Ahornweg;5;NULL;405238,739;5474441,492;01630;00008;0005;1630;49.415264398074;7.6935068075855
46;8;Ahornweg;6;NULL;405232,605;5474472,495;01630;00008;0006;1630;49.4155422348785;7.69341670639704
47;8;Ahornweg;7;NULL;405233,109;5474437,113;01630;00008;0007;1630;49.4152276487772;7.69343884591535
48;8;Ahornweg;8;NULL;405217,867;5474463,347;01630;00008;0008;1630;49.4154589645801;7.69321210439644
49;8;Ahornweg;9;NULL;405227,635;5474432,656;01630;00008;0009;1630;49.4151817510442;7.69335733979718
50;8;Ahornweg;10;NULL;405201,369;5474443,096;01630;00008;0010;1630;49.4152766192522;7.692996346819
51;8;Ahornweg;11;NULL;405221,38;5474427,886;01630;00008;0011;1630;49.4151358532545;7.69327583383133
52;8;Ahornweg;12;NULL;405180,212;5474434,987;01630;00008;0012;1630;49.4151924131497;7.69270904680683
53;8;Ahornweg;13;NULL;405215,827;5474423,351;01630;00008;0013;1630;49.4150989480327;7.69319408923028
54;8;Ahornweg;14;NULL;405162,07;5474421,861;01630;00008;0014;1630;49.4150727034986;7.69246405331335
55;8;Ahornweg;15;NULL;405204,452;5474415,979;01630;00008;0015;1630;49.4150252932288;7.69304438365789
56;8;Ahornweg;16;NULL;405145,835;5474407,073;01630;00008;0016;1630;49.4149441566218;7.69223308321361
57;8;Ahornweg;17;NULL;405198,892;5474410,604;01630;00008;0017;1630;49.4149793952219;7.69296287824452
58;8;Ahornweg;18;NULL;405123,745;5474389,583;01630;00008;0018;1630;49.4147788591212;7.69193415440701
59;8;Ahornweg;19;NULL;405181,713;5474396,026;01630;00008;0019;1630;49.4148508493324;7.69273190725549
60;8;Ahornweg;19;a;405186,169;5474391,442;01630;00008;0019;1630;49.4148066654284;7.69280201759029
61;8;Ahornweg;19;b;405190,94;5474386,42;01630;00008;0019;1630;49.4147623256498;7.69285834461367
62;8;Ahornweg;21;NULL;405196,464;5474380,646;01630;00008;0021;1630;49.4147093048645;7.6929424767127
63;8;Ahornweg;23;NULL;405202,887;5474376,073;01630;00008;0023;1630;49.4146742692648;7.69302613100138
64;8;Ahornweg;25;NULL;405209,201;5474371,62;01630;00008;0025;1630;49.4146303967788;7.69312380712068
65;8;Ahornweg;27;NULL;405215,451;5474366,9;01630;00008;0027;1630;49.4145863684201;7.69320769992845
66;8;Ahornweg;29;NULL;405221,874;5474362,025;01630;00008;0029;1630;49.4145513326244;7.69329135382137
67;8;Ahornweg;31;NULL;405135,391;5474373,1;01630;00008;0031;1630;49.4146368483652;7.69210337637899
68;8;Ahornweg;33;NULL;405139,857;5474367,594;01630;00008;0033;1630;49.4145835163079;7.69215994280006
69;9;Akazienweg;1;NULL;412101,099;5477810,32;00560;00009;0001;0560;49.4465918275418;7.78735782440494
70;9;Akazienweg;2;NULL;412122,704;5477783,052;00560;00009;0002;0560;49.4463520561754;7.78765345712762
71;9;Akazienweg;3;NULL;412108,628;5477814,895;00560;00009;0003;0560;49.4466288115519;7.78745348540589
72;9;Akazienweg;4;NULL;412133,231;5477794,271;00560;00009;0004;0560;49.4464525685963;7.78780273586957
73;9;Akazienweg;5;NULL;412115,688;5477819,143;00560;00009;0005;0560;49.4466747883848;7.78754892475575
74;9;Akazienweg;6;NULL;412145,925;5477806,231;00560;00009;0006;0560;49.4465622182935;7.7879655861022
75;9;Akazienweg;7;NULL;412143,997;5477836,527;00560;00009;0007;0560;49.4468317162329;7.78793134912933
76;9;Akazienweg;8;NULL;412160,722;5477820,152;00560;00009;0008;0560;49.4466902871944;7.78816937159694
77;10;"Aktienstraße";1;NULL;411469,761;5477737,807;00130;00010;0001;0130;49.4458436099277;7.77865722856611
78;10;"Aktienstraße";3;NULL;411476,823;5477736,914;00130;00010;0003;0130;49.4458356367135;7.77875399843573
79;10;"Aktienstraße";5;NULL;411484,07;5477736,008;00130;00010;0005;0130;49.4458368019388;7.77886433724686
80;10;"Aktienstraße";7;NULL;411491,411;5477735,04;00130;00010;0007;0130;49.4458288285509;7.77896110707263
81;10;"Aktienstraße";8;NULL;411489,33;5477719,908;00130;00010;0008;0130;49.4456846512982;7.7789370962008
82;10;"Aktienstraße";9;NULL;411498,845;5477734,04;00130;00010;0009;0130;49.4458208550818;7.77905787686846
83;10;"Aktienstraße";12;NULL;411503,807;5477717,474;00130;00010;0012;0130;49.4456687043142;7.7791306352011
84;11;"Albert-Einstein-Straße";1;NULL;410187,49;5478071,006;00441;00011;0001;0441;49.448659106779;7.76089981784572
85;11;"Albert-Einstein-Straße";2;NULL;410176,741;5478029,795;00441;00011;0002;0441;49.4482797829929;7.76075761617771
86;11;"Albert-Einstein-Straße";3;NULL;410280,953;5478078,721;00441;00011;0003;0441;49.4487357942959;7.76218098687901
87;11;"Albert-Einstein-Straße";4;NULL;410196,948;5478032,22;00441;00011;0004;0441;49.4483097173158;7.76103279509296
88;11;"Albert-Einstein-Straße";5;NULL;410302,039;5478084,187;00441;00011;0005;0441;49.4487929989128;7.76248307625666
89;11;"Albert-Einstein-Straße";6;NULL;410218,834;5478038,334;00441;00011;0006;0441;49.4483669249054;7.76133488046951
90;11;"Albert-Einstein-Straße";7;NULL;410321,843;5478089,81;00441;00011;0007;0441;49.4488407672119;7.76274401335946
91;11;"Albert-Einstein-Straße";8;NULL;410246,966;5478043,626;00441;00011;0008;0441;49.4484160251094;7.76171995103002
92;11;"Albert-Einstein-Straße";10;NULL;410270,089;5478047,775;00441;00011;0010;0441;49.4484555406075;7.76205007684779
93;11;"Albert-Einstein-Straße";12;NULL;410292,023;5478052,204;00441;00011;0012;0441;49.4485037527409;7.76235239076966
94;11;"Albert-Einstein-Straße";14;NULL;410321,416;5478059,875;00441;00011;0014;0441;49.4485709827762;7.7627508038155
95;11;"Albert-Einstein-Straße";16;NULL;410351,459;5478068,262;00441;00011;0016;0441;49.4486563446046;7.76316255848719
96;12;"Albert-Schweitzer-Straße";5;NULL;410009,867;5477376,435;00320;00012;0005;0320;49.4423827736179;7.75860248802187
97;12;"Albert-Schweitzer-Straße";7;NULL;410006,526;5477366,597;00320;00012;0007;0320;49.4422924013421;7.75856338481867
98;12;"Albert-Schweitzer-Straße";9;NULL;410003,241;5477356,549;00320;00012;0009;0320;49.4422020290528;7.75852428175639
99;12;"Albert-Schweitzer-Straße";11;NULL;409996,375;5477337,516;00320;00012;0011;0320;49.44203012917;7.7584320577944
100;12;"Albert-Schweitzer-Straße";17;NULL;409979,164;5477285,787;00320;00012;0017;0320;49.4415599855461;7.75820941824356
101;12;"Albert-Schweitzer-Straße";19;NULL;409972,262;5477271,224;00320;00012;0019;0320;49.4414330494626;7.75811606086417
102;12;"Albert-Schweitzer-Straße";21;NULL;409967,331;5477260,985;00320;00012;0021;0320;49.4413333879759;7.75804960446284
103;12;"Albert-Schweitzer-Straße";23;NULL;409963,02;5477251,093;00320;00012;0023;0320;49.4412518601974;7.75799648496513
104;12;"Albert-Schweitzer-Straße";25;NULL;409958,55;5477241,617;00320;00012;0025;0320;49.4411611914527;7.75792980187631
105;12;"Albert-Schweitzer-Straße";27;NULL;409949,08;5477218,607;00325;00012;0027;0325;49.4409530235677;7.75781090887842
106;12;"Albert-Schweitzer-Straße";29;NULL;409941,984;5477205,913;00325;00012;0029;0325;49.440834931818;7.75770353561242
107;12;"Albert-Schweitzer-Straße";31;NULL;409937,344;5477197,52;00325;00012;0031;0325;49.440762396692;7.75765018999752
108;12;"Albert-Schweitzer-Straße";33;NULL;409933,591;5477190,014;00325;00012;0033;0325;49.4406988543512;7.75759661731203
109;12;"Albert-Schweitzer-Straße";35;NULL;409929,83;5477182,527;00325;00012;0035;0325;49.4406263191766;7.7575432719997
110;12;"Albert-Schweitzer-Straße";37;NULL;409926,276;5477175,326;00325;00012;0037;0325;49.4405629249704;7.75750349036025
111;12;"Albert-Schweitzer-Straße";39;NULL;409910,726;5477146,869;00325;00012;0039;0325;49.4402997623842;7.75728942933591
112;12;"Albert-Schweitzer-Straße";41;NULL;409903,579;5477133,485;00325;00012;0041;0325;49.4401818183773;7.7571958493823
113;12;"Albert-Schweitzer-Straße";41;a;409903,984;5477122,599;00325;00012;0041;0325;49.4400828974778;7.7571983496276
114;12;"Albert-Schweitzer-Straße";42;NULL;409865,581;5477107,107;00325;00012;0042;0325;49.4399423719054;7.75667771677002
115;12;"Albert-Schweitzer-Straße";43;NULL;409896,369;5477119,886;00325;00012;0043;0325;49.440054881487;7.75710249718556
116;12;"Albert-Schweitzer-Straße";44;NULL;409861,082;5477099,422;00325;00012;0044;0325;49.4398698363147;7.75662437362116
117;12;"Albert-Schweitzer-Straße";44;a;409856,204;5477090,816;00325;00012;0044;0325;49.4397881595997;7.7565574674951
118;12;"Albert-Schweitzer-Straße";45;NULL;409888,906;5477106,204;00325;00012;0045;0325;49.4399367890903;7.75699512755452
119;12;"Albert-Schweitzer-Straße";46;NULL;409850,43;5477081,242;00325;00012;0046;0325;49.4397063345444;7.75647677107305
120;12;"Albert-Schweitzer-Straße";47;NULL;409876,914;5477075,575;00325;00012;0047;0325;49.4396562330142;7.75683668868292
121;12;"Albert-Schweitzer-Straße";48;NULL;409846,494;5477074,556;00325;00012;0048;0325;49.4396427916697;7.75642320103941
122;12;"Albert-Schweitzer-Straße";49;NULL;409864,912;5477066,535;00325;00012;0049;0325;49.4395735185042;7.7566732491218
123;12;"Albert-Schweitzer-Straße";50;NULL;409834,499;5477063,186;00325;00012;0050;0325;49.4395420909674;7.75626021715243
124;12;"Albert-Schweitzer-Straße";51;NULL;409854,656;5477057,314;00325;00012;0051;0325;49.4394911003603;7.75653739102479
125;12;"Albert-Schweitzer-Straße";52;NULL;409826,752;5477056,532;00325;00012;0052;0325;49.4394779546425;7.75615148577192
126;12;"Albert-Schweitzer-Straße";53;NULL;409843,843;5477048,719;00325;00012;0053;0325;49.439408533747;7.75638774295114
127;12;"Albert-Schweitzer-Straße";54;NULL;409818,255;5477049,316;00325;00012;0054;0325;49.4394138182168;7.7560427546754
128;12;"Albert-Schweitzer-Straße";55;NULL;409833,926;5477039,445;00325;00012;0055;0325;49.4393261152726;7.75625188578965
129;12;"Albert-Schweitzer-Straße";56;NULL;409810,727;5477042,819;00325;00012;0056;0325;49.4393496816904;7.75593402386289
130;12;"Albert-Schweitzer-Straße";57;NULL;409823,463;5477030,898;00325;00012;0057;0325;49.4392436966411;7.756116029084
131;12;"Albert-Schweitzer-Straße";58;NULL;409805,041;5477037,852;00325;00012;0058;0325;49.4393039758067;7.75586620945665
132;12;"Albert-Schweitzer-Straße";59;NULL;409813;5477021,873;00325;00012;0059;0325;49.4391612778523;7.75598017283419
133;12;"Albert-Schweitzer-Straße";60;NULL;409786,267;5477021,796;00325;00012;0060;0325;49.439157271507;7.75560783312934
134;12;"Albert-Schweitzer-Straße";61;NULL;409802,532;5477013,026;00325;00012;0061;0325;49.4390877033346;7.7558302991666
135;12;"Albert-Schweitzer-Straße";62;NULL;409737,383;5476990,848;00331;00012;0062;0331;49.4388712207756;7.7549391644148
136;12;"Albert-Schweitzer-Straße";63;NULL;409792,101;5477002,897;00325;00012;0063;0325;49.4389872986038;7.7556948989494
137;12;"Albert-Schweitzer-Straße";64;NULL;409682,163;5476935,931;00331;00012;0064;0331;49.4383684475812;7.75419323033652
138;12;"Albert-Schweitzer-Straße";65;NULL;409725,874;5476938,004;00331;00012;0065;0331;49.4384018130809;7.7547855228363
139;12;"Albert-Schweitzer-Straße";67;NULL;409708,944;5476923,871;00331;00012;0067;0331;49.4382643962711;7.75455450690421
140;12;"Albert-Schweitzer-Straße";84;NULL;409442,067;5476761,511;00331;00012;0084;0331;49.4367679971492;7.75092334854971
141;13;"Albertstraße";1;NULL;410170,915;5477001,186;00240;00013;0001;0240;49.4390342814854;7.76090787111894
142;13;"Albertstraße";2;NULL;410176,738;5477025,263;00230;00013;0002;0230;49.4392509958582;7.76098517497317
143;13;"Albertstraße";3;NULL;410163,038;5476995,987;00240;00013;0003;0240;49.4389792900947;7.76081269841401
144;13;"Albertstraße";4;NULL;410168,461;5477019,64;00230;00013;0004;0230;49.4391958567528;7.76087621136933
145;13;"Albertstraße";5;NULL;410155,397;5476990,631;00240;00013;0005;0240;49.4389331436534;7.76070350895886
146;13;"Albertstraße";6;NULL;410160,151;5477014,08;00230;00013;0006;0230;49.4391497103689;7.76076702137631
147;13;"Albertstraße";7;NULL;410146,709;5476984,546;00240;00013;0007;0240;49.4388778564766;7.76058075606797
148;13;"Albertstraße";8;NULL;410150,947;5477007,89;00230;00013;0008;0230;49.4390852826289;7.76063070416893
149;13;"Albertstraße";9;NULL;410137,988;5476979,051;00240;00013;0009;0240;49.4388315619935;7.76045777676607
150;13;"Albertstraße";10;NULL;410141,44;5477001,522;00230;00013;0010;0230;49.439029995374;7.76050795098469
151;13;"Albertstraße";16;NULL;410079,715;5476986,34;00230;00013;0016;0230;49.4388859350369;7.75965635218124
152;13;"Albertstraße";18;NULL;410072,155;5476981,655;00230;00013;0018;0230;49.4388399354471;7.75956095432675
153;13;"Albertstraße";20;NULL;410064,221;5476976,719;00230;00013;0020;0230;49.4387937878343;7.75945176637529
154;13;"Albertstraße";22;NULL;410057,91;5476963,599;00230;00013;0022;0230;49.438675845529;7.75935818400167
155;13;"Albertstraße";24;NULL;410060,347;5476951,385;00230;00013;0024;0230;49.438568375566;7.75940227728914
156;13;"Albertstraße";25;NULL;410073,23;5476929,425;00230;00013;0025;0230;49.4383724567632;7.75958654065833
157;13;"Albertstraße";26;NULL;410047,664;5476945,575;00230;00013;0026;0230;49.4385124951455;7.759224366005
158;13;"Albertstraße";27;NULL;410048,472;5476913,065;00230;00013;0027;0230;49.438224872917;7.75924541722569
159;13;"Albertstraße";28;NULL;410039,105;5476940,358;00230;00013;0028;0230;49.4384663472206;7.75911517909672
160;13;"Albertstraße";30;NULL;410024,454;5476931,268;00230;00013;0030;0230;49.4383831918933;7.75891036908617
